id,title,author,genre,tags,img,description,published_year,average_rating,num_pages,price
11,Where the Sidewalk Ends,Shel Silverstein,Children Poetry,"Imagination, Childhood, Humor, Fantasy, Life Lessons",https://upload.wikimedia.org/wikipedia/en/b/b3/Where_the_Sidewalk_Ends_(1974).jpg,"Where the Sidewalk Ends is a celebrated collection of poems and drawings by Shel Silverstein, first published in 1974. The book features a series of whimsical poems that explore various aspects of life, imagination, and childhood experiences. Each poem is accompanied by Silverstein's distinctive illustrations, adding depth and humor to the verses. The collection has been praised for its ability to engage readers of all ages with its playful language and insightful themes.",1974,4.5,176,11.70
12,Wuthering Heights,Emily Brontë,Romance Drama Fiction,Obsession Love Revenge Class Struggles Gothic,http://books.google.com/books/content?id=bK-LRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a house haunted by memories, the past is everywhere ... As darkness falls, a man caught in a snowstorm is forced to shelter at the strange, grim house Wuthering Heights. It is a place he will never forget. There he will come to learn the story of Cathy: how she was forced to choose between her well-meaning husband and the dangerous man she had loved since she was young. How her choice led to betrayal and terrible revenge - and continues to torment those in the present. How love can transgress authority, convention, even death. And how desire can kill.",1994,3.84,279,11.70
13,The Adventures of Huckleberry Finn,Mark Twain,Adventure Fiction,Friendship Freedom Adventure Moral Growth Racism,http://books.google.com/books/content?id=pi1gC_BNWtcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A nineteenth-century boy, floating down the Mississippi River on a raft with a runaway slave, becomes involved with a feuding family, two scoundrels pretending to be royalty, and Tom Sawyer's aunt, who mistakes him for Tom.",2006,3.81,305,11.70
14,Harry Potter and the Sorcerer's Stone(Book 1),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=9jA0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tries to deliver a mysterious letter—the first of a sequence of events that end in Harry meeting a giant man named Hagrid. Hagrid explains Harry's history to him: When he was a baby, the Dark wizard, Lord Voldemort, attacked and killed his parents in an attempt to kill Harry; but the only mark on Harry was a mysterious lightning-bolt scar on his forehead. Now he has been invited to attend Hogwarts School of Witchcraft and Wizardry, where the headmaster is the great wizard Albus Dumbledore. Harry visits Diagon Alley to get his school supplies, especially his very own wand. To get to school, he takes the Hogwarts Express from platform nine and three-quarters at King's Cross Station. On the train, he meets two fellow students who will become his closest friends: Ron Weasley and Hermione Granger. Harry is assigned to Gryffindor House at Hogwarts, and soon becomes the youngest-ever Seeker on the House Quidditch team. He also studies Potions with Professor Severus Snape, who displays a deep and abiding dislike for Harry, and Defense Against the Dark Arts with nervous Professor Quirrell; he and his friends defeat a mountain troll, help Hagrid raise a dragon, and explore the wonderful, fascinating world of Hogwarts. But all events lead irrevocably toward a second encounter with Lord Voldemort, who seeks an object of legend known as the Sorcerer's Stone…",1997,4.47,320,11.70
15,Harry Potter and the Chamber of Secrets(Book 2),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=ZTE0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s first year at Hogwarts has been his worst summer ever… the Dursleys more distant and horrible than ever before. But just as he’s packing his bags to return to school, a creature named Dobby the house-elf announces that if Harry goes back to Hogwarts, disaster will strike. And it turns out, Dobby is right. Harry and Ron miss the Hogwarts Express, so they fly to school in a blue Ford Anglia, crash landing in the notorious Whomping Willow. Soon other worries accumulate: the outrageously stuck-up new professor Gilderoy Lockhart; a ghost named Moaning Myrtle, who haunts the girls' bathroom; the strange behavior of Ron's little sister, Ginny Weasley; rumors about the ""Chamber of Secrets,"" a cavern buried deep below Hogwarts; and a magical diary owned by Tom Riddle, a Hogwarts student of long ago. Harry is also shocked to discover that he can speak Parseltongue, the language of snakes - a rare ability that Lord Voldemort also possessed - and that anti-Muggle prejudice exists in the Wizarding world, even affecting Harry's friend Hermione. But all of these seem like minor concerns when someone starts turning Hogwarts students to stone: an evildoer said to be the fearsome Heir of Salazar Slytherin, on of the founders of the school. Could it be Draco Malfoy, Harry's most poisonous rival? Could it be Hagrid whose mysterious past is finally told? Or could it be the one person everyone at Hogwarts most suspects: Harry Potter himself?",1998,4.41,341,11.70
16,Harry Potter and the Prisoner of Azkaban(Book 3),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…",1999,4.55,435,11.70
17,Harry Potter and the Goblet of Fire(Book 4),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=5eSxngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The summer holidays are dragging on and Harry Potter can't wait for the start of the school year. It is his fourth year at Hogwarts School of Witchcraft and Wizardry and there are spells to be learnt and (unluckily) Potions and Divination lessons to be attended. But Harry can't know that the atmosphere is darkening around him, and his worst enemy is preparing a fate that it seems will be inescapable . . . With characteristic wit, fast-paced humour and marvellous emotional depth, J.K. Rowling has proved herself yet again to be a master story-teller.",2000,4.55,636,11.70
18,Harry Potter and the Order of the Phoenix(Book 5),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=OIJ5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Order of the Phoenix, Lord Voldemort has returned to the Wizarding world, presenting a threat that neither the magical government nor the authorities at Hogwarts can stop. In response to his reappearance, Dumbledore reactivates the Order of the Phoenix, a secret society which works to defeat the Dark Lord's minions and protect his targets—especially Harry Potter. But Harry doesn’t want to be protected. Even as the Ministry of Magic denies his claims, The Daily Prophet discredits him, and even Dumbledore won’t look him in the eye, Harry grows more and more determined to fight his lifelong enemy Voldemort—if only he had the “weapon” the Order is guarding. In the meantime, he visits his godfather at his ghoulish London home, Grimmauld Place, and learns more about Voldemort’s deep reach into Wizarding history and the Wizarding world. Back at Hogwarts, Harry must deal with a Defense Against the Dark Arts teacher with a personality like poisoned honey; a surprising new member of the Gryffindor Quidditch team; the possibility of his first real romance; and the looming nightmare of the Ordinary Wizarding Level exams. He’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young Severus Snape that changes everything he thought he knew about them. Even the joy of working with ""Dumbledore's Army"" -a group of Hogwart's students dedicated to defeating Voldemort- can't dispel the gathering darkness. Soon Harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. His fate depends on them all.",2003,4.49,870,11.70
19,Harry Potter and the Half-Blood Prince(Book 6),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,http://books.google.com/books/content?id=QzI0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on. Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.",2005,4.56,652,11.70
20,Harry Potter and the Deathly Hallows(Book 7),"Rowling, J.K.",Fantasy Adventure Fiction,Magic Friendship Good vs Evil School Wizardry Adventure,https://upload.wikimedia.org/wikipedia/en/a/a9/Harry_Potter_and_the_Deathly_Hallows.jpg,"Harry Potter and the Deathly Hallows is a fantasy novel written by British author J. K. Rowling. It is the seventh and final novel in the Harry Potter series. Published on July 21, 2007, it follows Harry Potter, along with his friends Ron and Hermione, as they embark on a perilous journey to locate and destroy the Horcruxes—objects containing parts of the dark wizard Lord Voldemort's soul—in order to defeat him once and for all. The narrative delves into themes of friendship, sacrifice, and the ultimate battle between good and evil.",2007,4.56,607,11.70
21,Anna Karenina,Leo Tolstoy,Romance Drama Fiction,Love Infidelity Social Class Tragedy Russian Society,http://books.google.com/books/content?id=FJKFPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Anna Karenina may be the greatest single novel ever written; it may also be just plainly and sublimely good. Regardless, there is no doubt that Anna Karenina (generally considered Tolstoy's finest novel) is a sublime achievement. Anna, miserable in a loveless marriage, succumbs to the desire for the dashing Vronsky. That sort of thing didn't stand one in good stead in 19th-century Russia; bad goes to worse, and the end Anna comes to is the stuff of legend. Tolstoy seamlessly captures a weaves a tapestry of Russian society -- as Matthew Arnold wrote in his celebrated essay on Tolstoy, We are not to take Anna Karenina as a work of art; we are to take it as a piece of life. One of the greatest love stories in world literature. -- Vladimir Nabokov",1878,4.04,740,11.70
22,War and Peace,Leo Tolstoy,Historical Fiction Drama,War Peace Russian Nobility Family History Fate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFiDizRVsgTgJakMd12-ODSCVdaI_xMqr96Q&s,"Often called the greatest novel ever written, War and Peace is at once an epic of the Napoleonic Wars, a philosophical study, and a celebration of the Russian spirit. Tolstoy's genius is seen clearly in the multitude of characters in this massive chronicle-all of them fully realized and equally memorable. Out of this complex narrative emerges a profound examination of the individual's place in the historical process, one that makes it clear why Thomas Mann praised Tolstoy for his Homeric powers and placed War and Peace in the same category as the Iliad ""To read him . . . is to find one's way home . . . to everything within us that is fundamental and sane.""",1999,4.11,1500,11.70
23,A Tale of Two Cities,Charles Dickens,Historical Fiction Drama,Revolution Sacrifice Freedom Social Injustice Paris London,http://books.google.com/books/content?id=-SalMNeuN5sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A Tale of Two Cities by Charles Dickens, first published in 1859, is set against the backdrop of the French Revolution. It follows the lives of several characters, primarily Charles Darnay, a French aristocrat, and Sydney Carton, a disillusioned English lawyer. The story explores themes of resurrection, sacrifice, and the stark contrasts between the cities of London and Paris during the turbulent period. The novel begins with the famous line, ""It was the best of times, it was the worst of times,"" reflecting the stark differences between the two cities. Darnay, despite his noble lineage, seeks to escape the oppressive nature of his family's wealth and chooses to live in England. Meanwhile, Carton, though brilliant, struggles with his lack of purpose and self-worth. Over the course of the story, their paths cross in unexpected ways, culminating in Carton's self-sacrifice for Darnay's sake, marking the ultimate act of redemption. The novel is widely regarded as one of Dickens' finest works and remains a poignant commentary on social injustice, the consequences of political violence, and the possibility of personal transformation.",1859,3.83,489,11.70
24,Crime and Punishment,Fyodor Dostoevsky,Psychological Crime Fiction,Murder Guilt Redemption Morality Poverty St. Petersburg,N/A,"This novel follows Rodion Raskolnikov, a former student in St. Petersburg who commits a murder and grapples with the ensuing guilt and moral dilemmas. The narrative delves into themes of morality, redemption, and the human psyche.",1866,4.2,600,11.70
25,Frankenstein,Mary Shelley,Gothic Science Fiction,Creation Monster Isolation Ambition Nature vs. Nurture,N/A,"Victor Frankenstein, a scientist, creates a living being from body parts, leading to unforeseen consequences. The novel explores themes of creation, responsibility, and the consequences of unchecked ambition.",1818,4.1,280,11.70
26,Lolita,Vladimir Nabokov,Literary Fiction,Obsession Manipulation Morality Love Tragedy,N/A,"The novel is narrated by Humbert Humbert, a man who becomes infatuated with a 12-year-old girl named Dolores Haze, whom he nicknames Lolita. It delves into themes of obsession, manipulation, and the complexities of human desire.",1955,4.3,336,11.70
27,One Hundred Years of Solitude,Gabriel García Márquez,Fiction Historical Literature,"Magical Realism Family Saga Magic, Solitude Latin America History",N/A,"The novel chronicles the Buendía family over several generations in the fictional town of Macondo, blending the mundane with the magical. It explores themes of solitude, love, and the cyclical nature of history.",1967,4.6,417,11.70
28,Great Expectations,Charles Dickens,Fiction Drama Literature,Bildungsroman Social Critique Ambition Class Love Guilt Redemption,N/A,"The story follows Pip, an orphan who rises from humble beginnings to wealth, only to discover that true happiness lies in love and loyalty. The novel critiques social class and the pursuit of wealth.",1861,4.1,544,11.70
29,Moby-Dick,Herman Melville,Adventure Fiction Literature,Whale Obsession Sea Revenge Nature,N/A,"Captain Ahab embarks on a perilous voyage to hunt the elusive white whale, Moby-Dick, leading to a tale of obsession and the human condition.",1851,4.2,600,11.70
30,The Hobbit,J. R. R. Tolkien,Fantasy Adventure,Hobbit Adventure Dragons Treasure Friendship,N/A,"Bilbo Baggins, a hobbit, is thrust into an unexpected adventure with dwarves and a wizard to reclaim treasure guarded by the dragon Smaug. The novel explores themes of bravery, friendship, and the hero's journey.",1937,4.3,300,11.70
31,The Sound and the Fury,William Faulkner,fiction drama literature,"stream-of-consciousness family-tragedy southern-gothic loss,time-reality",N/A,"""The Sound and the Fury"" presents a fragmented narrative of the Compson family’s decline, told through the perspectives of four characters, each with their own perception of the world. The novel's structure is disorienting and unconventional, using stream-of-consciousness techniques to convey the inner turmoil and distorted realities of the characters. The story touches on themes of memory, loss, and the impact of time on both personal and familial identities. Through this intricate narrative, Faulkner explores the complexities of human experience, especially in the context of the American South in the early 20th century.",1929,3.96,326,11.70
32,The Stranger,Albert Camus,fiction philosophy drama,existentialism absurdism meaning-of-life alienation morality,N/A,"""The Stranger"" tells the story of **Meursault**, an emotionally detached man who lives in Algeria. He begins the novel by learning of his mother’s death, but his indifferent reaction sets the tone for his character. Meursault’s disconnection from the world culminates in his involvement in the random killing of a man, and his trial becomes a philosophical exploration of meaning, justice, and the absurdity of existence. Camus uses this narrative to explore the existential theme of life’s inherent meaninglessness and the human search for purpose.",1942,4.04,123,11.70
33,The Brothers Karamazov,Fyodor Dostoevsky,fiction drama literature,philosophy family-religion morality existentialism free-will,N/A,"""The Brothers Karamazov"" is a philosophical novel that follows the lives of the Karamazov family—**Fyodor**, a debauched father, and his three sons: **Dmitri**, **Ivan**, and **Alyosha**. The novel explores questions of faith, morality, free will, and the existence of God, through a complex narrative that delves into the psychological and spiritual struggles of the characters. As the plot unfolds, the Karamazov family becomes entangled in a murder mystery that exposes the deeper issues of human nature and the Russian society of the time.",1880,4.34,796,11.70
34,Alice's Adventures in Wonderland,Lewis Carroll,fiction fantasy literature,whimsy adventure dreamlike imagination,N/A,"""Alice’s Adventures in Wonderland"" follows **Alice**, a young girl who falls through a rabbit hole into a fantastical world full of strange and whimsical characters. The novel explores themes of identity, logic, and absurdity as Alice encounters the nonsensical and sometimes frustrating rules of Wonderland. Through encounters with characters like the White Rabbit, the Cheshire Cat, and the Queen of Hearts, Carroll’s story presents a playful yet profound exploration of curiosity and the wonders of childhood imagination.",1865,4.05,96,11.70
35,Heart of Darkness,Joseph Conrad,fiction drama adventure,horror colonialism imperialism morality guilt,N/A,"""Heart of Darkness"" follows **Marlow**, a sailor who embarks on a journey up the Congo River in Africa to find **Kurtz**, an ivory trader who has become consumed by power and madness. Through Marlow's eyes, the novel explores the brutal and dehumanizing effects of European colonialism. Conrad examines the darkness within humanity, questioning the morality of imperialism and the fragility of civilization. The story delves into the complexities of human nature, confronting the evil that resides both in the heart of Africa and in the heart of every person.",1899,3.76,144,11.70
36,The Trial,Franz Kafka,fiction drama mystery,absurdism existentialism bureaucracy legal-system guilt,N/A,"""The Trial"" tells the story of **Josef K.**, a man who is suddenly arrested and put on trial for an unspecified crime. Kafka explores the absurdity of bureaucracy and the alienation of modern life as Josef becomes entangled in a surreal and nightmarish legal system. The novel addresses themes of guilt, fate, and the human struggle against forces beyond their control. Kafka’s portrayal of the judicial system’s dehumanizing effects offers a stark critique of totalitarianism and modern society.",1925,4.07,255,11.70
37,The Grapes of Wrath,John Steinbeck,fiction historical drama,poverty social-justice great-depression migration family,N/A,"""The Grapes of Wrath"" follows the **Joad** family as they leave their farm in Oklahoma during the Great Depression and travel to California in search of a better life. Through their journey, Steinbeck paints a poignant picture of poverty, injustice, and the struggles of migrant workers. The novel explores themes of human dignity, solidarity, and the social inequalities faced by the working class. Steinbeck’s depiction of the Joads’ resilience in the face of overwhelming hardship is both a critique of economic exploitation and a call for social change.",1939,4.33,464,11.70
38,The Magic Mountain,Thomas Mann,fiction literature philosophy,existentialism time illness disease,N/A,"""Set in a sanatorium in the Swiss Alps, **The Magic Mountain** follows **Hans Castorp**, a young man who visits his cousin at the sanatorium and ends up staying for seven years. The novel examines the concept of time and the nature of life and death as Hans becomes immersed in discussions of philosophy, politics, and the human condition. Mann uses the sanatorium as a microcosm for European society on the brink of World War I. The narrative reflects the tensions of the time, exploring themes of illness, existential doubt, and the clash between reason and emotion.",1924,4.14,720,11.70
39,Brave New World,Aldous Huxley,fiction dystopian science-fiction,government-control technology morality ethics society,N/A,"""Brave New World"" depicts a future society where human beings are no longer born but artificially created and conditioned to fulfill predetermined roles within a rigidly controlled social hierarchy. In this world, individualism is eradicated in favor of conformity and consumerism, with the state using genetic engineering and psychological manipulation to maintain order. The novel explores themes of freedom, happiness, and the cost of progress, asking whether a perfect society can ever be truly just. Huxley critiques both the dangers of totalitarianism and the dehumanizing effects of technological advancements.",1932,3.99,311,11.70
40,The Hunger Games,Suzanne Collins,young-adult adventure dystopian science-fiction thriller fiction,survival political-rebellion competition strategy romance war,https://upload.wikimedia.org/wikipedia/en/d/dc/The_Hunger_Games.jpg,"Book 1 of the Hunger Games series
In the dystopian nation of Panem, the Capitol rules over 12 impoverished districts, enforcing strict control through fear and oppression. As punishment for a past rebellion, the Capitol hosts the annual Hunger Games, a brutal televised event where one boy and one girl from each district, known as tributes, are forced to fight to the death in a vast and dangerous arena.
Sixteen-year-old Katniss Everdeen from District 12 volunteers as a tribute to save her younger sister, Prim, from the deadly competition. Alongside her fellow tribute, Peeta Mellark, Katniss must navigate the treacherous environment, strategize for survival, and play along with the Capitol's manipulative games—all while wrestling with the growing rebellion stirring beneath the surface.
As alliances form and betrayals unfold, Katniss unknowingly becomes a symbol of defiance against the oppressive regime. But will she make it out alive, or will the Games break her spirit before she even gets a chance to fight back?",2008,4.33,354,11.70
